titulo,tipo,precio,condicion,ubicacion,tiempo,reputacion,pago
Computador Cpu Intel Core I5 D.500gb 8gb Ram Tarj V 2gb,Computadoras y Servidores,346,Nuevo  -  24 vendidos,"Quito, Pichincha ( Quito )",1 Año,98% de compradores lo recomiendan,Efectivo
Laptop I7 Dell Alienware 17 R4 Gamer Gtx1080 1.3tb 32gb Gami,Computadoras y Servidores,3.750,Nuevo  -  16 vendidos,"Guayaquil, Guayas",4 Años,100% de compradores lo recomiendan,Tarjeta de Crédito
Led 20 Pc Gamer Ryzen 5 8gb Gtx 1050ti Computadora I 5 7,Computadoras y Servidores,997,Nuevo  -  23 vendidos,"Guayaquil, Guayas",4 Años,97% de compradores lo recomiendan,Tarjeta de Crédito
"Combo Case Altek Case, Teclado,mouse,parlantes,fuente !!new!",Computadoras y Servidores,34,Nuevo  -  67 vendidos,"Quito, Pichincha ( Quito )",8 Años,98% de compradores lo recomiendan,Efectivo
Cpu Intel Core I3 7100 3.9 7ta Gene. 320gb 4gb Nuevo Garanti,Computadoras y Servidores,309,Nuevo  -  59 vendidos,"Quito, Pichincha ( Quito )",4 Años,95% de compradores lo recomiendan,Efectivo
Hp Intel Dual Core+500gb+4gb+15.6pl+win10+eddd,Computadoras y Servidores,319,Nuevo  -  17 vendidos,"Quito, Pichincha ( Quito )",3 Años,98% de compradores lo recomiendan,Tarjeta de Crédito
"Computador Intel Core I3 Dd 500gb M 4gb Led 20, I5 ,i7 Ofer",Computadoras y Servidores,379,Nuevo  -  40 vendidos,"Quito, Pichincha ( Quito )",4 Años,98% de compradores lo recomiendan,
Pc Intel Dual Core 4gb 500gb Hdmi Computador Cpu Nueva I 3 5,Computadoras y Servidores,234,Nuevo  -  46 vendidos,"Guayaquil, Guayas",4 Años,97% de compradores lo recomiendan,Efectivo
All In One Hp 500 Disco - 4gb Ram - 20 Pulgadas - Win 10,Computadoras y Servidores,449,Nuevo  -  15 vendidos,"Quito, Pichincha ( Quito )",10 Años,97% de compradores lo recomiendan,Tarjeta de Crédito
Mini Pc Intel Monitor Dual Core 4gb 500gb Wifi Brix Hdmi Nuc,Computadoras y Servidores,449,Nuevo  -  5 vendidos,"Guayaquil, Guayas",4 Años,97% de compradores lo recomiendan,Tarjeta de Crédito
